time;0;1
6.3001;(-0.698281,0.0596444);(0.698281,-0.0596013)
6.3051;(-0.696331,0.0612461);(0.696331,-0.061203)
6.3101;(-0.694752,0.0631831);(0.694752,-0.0631401)
6.3151;(-0.693095,0.0651017);(0.693095,-0.0650587)
6.3201;(-0.691361,0.0670019);(0.691361,-0.066959)
6.3251;(-0.68955,0.068884);(0.68955,-0.0688411)
6.3301;(-0.687663,0.070748);(0.687663,-0.0707052)
6.3351;(-0.685702,0.0725942);(0.685702,-0.0725514)
6.3401;(-0.683665,0.0744226);(0.683665,-0.0743799)
6.3451;(-0.681555,0.0762335);(0.681555,-0.0761908)
6.3501;(-0.679372,0.0780269);(0.679372,-0.0779843)
6.3551;(-0.677561,0.0801551);(0.677561,-0.0801125)
6.3601;(-0.675673,0.0822629);(0.675673,-0.0822203)
6.3651;(-0.673711,0.0843504);(0.673711,-0.0843079)
6.3701;(-0.671674,0.0864179);(0.671674,-0.0863754)
6.3751;(-0.669563,0.0884655);(0.669563,-0.088423)
6.3801;(-0.667379,0.0904933);(0.667379,-0.0904509)
6.3851;(-0.665123,0.0925016);(0.665123,-0.0924593)
6.3901;(-0.662795,0.0944905);(0.662795,-0.0944482)
6.3951;(-0.660396,0.0964602);(0.660396,-0.0964179)
6.4001;(-0.658365,0.0987685);(0.658365,-0.0987263)
6.4051;(-0.656261,0.101055);(0.656261,-0.101012)
6.4101;(-0.654083,0.103319);(0.654083,-0.103276)
6.4151;(-0.651833,0.105561);(0.651833,-0.105519)
6.4201;(-0.649511,0.107781);(0.649511,-0.107739)
