time;0;1;2;3;4;5;6;7;8;9
2.25;(7.53269,0.00277487);(6.32213,4.59341);(2.31721,7.11926);(-2.33915,7.18614);(-5.89139,4.2774);(-7.70072,1.7891e-05);(-5.82757,-4.23398);(-2.34389,-7.21472);(2.23888,-6.91105);(5.96381,-4.33207)
2.3;(7.46405,0.00294627);(6.27273,4.55754);(2.29579,7.05244);(-2.31833,7.12105);(-5.82997,4.23269);(-7.63649,2.06718e-05);(-5.76433,-4.18803);(-2.323,-7.1506);(2.21474,-6.83844);(5.90444,-4.2888)
2.35;(7.39538,0.00312398);(6.22328,4.52164);(2.27435,6.98557);(-2.2975,7.05589);(-5.76849,4.18794);(-7.5722,2.36212e-05);(-5.70104,-4.14205);(-2.30209,-7.08641);(2.19054,-6.76575);(5.84503,-4.24549)
2.4;(7.32667,0.00330814);(6.17379,4.48571);(2.25292,6.91864);(-2.27666,6.99065);(-5.70695,4.14316);(-7.50786,2.67318e-05);(-5.6377,-4.09602);(-2.28117,-7.02217);(2.16629,-6.69301);(5.78557,-4.20213)
2.45;(7.25794,0.00349883);(6.12427,4.44977);(2.23148,6.85165);(-2.25582,6.92535);(-5.64538,4.09835);(-7.44347,2.99955e-05);(-5.5743,-4.04996);(-2.26022,-6.95789);(2.14199,-6.62022);(5.72607,-4.15873)
2.5;(7.1892,0.00369609);(6.07471,4.4138);(2.21004,6.78463);(-2.23499,6.85999);(-5.58377,4.05351);(-7.37904,3.34033e-05);(-5.51087,-4.00387);(-2.23926,-6.89357);(2.11764,-6.54738);(5.66654,-4.1153)
2.55;(7.12046,0.00389991);(6.02513,4.37781);(2.18861,6.71756);(-2.21416,6.79457);(-5.52212,4.00864);(-7.31457,3.6945e-05);(-5.44739,-3.95775);(-2.21828,-6.82921);(2.09324,-6.47449);(5.60698,-4.07184)
2.6;(7.05171,0.00411017);(5.97552,4.34181);(2.16718,6.65047);(-2.19333,6.72911);(-5.46044,3.96375);(-7.25007,4.06096e-05);(-5.38389,-3.91161);(-2.19729,-6.76482);(2.06878,-6.40157);(5.54739,-4.02835)
2.65;(6.98297,0.00432665);(5.92589,4.30581);(2.14577,6.58334);(-2.1735,6.66562);(-5.39776,3.91683);(-7.18555,4.43848e-05);(-5.32035,-3.86544);(-2.17628,-6.7004);(2.04426,-6.32861);(5.48779,-3.98484)
2.7;(6.91425,0.00454893);(5.87623,4.26977);(2.12435,6.51619);(-2.15357,6.60193);(-5.33514,3.87006);(-7.12099,4.61839e-05);(-5.2568,-3.81926);(-2.15526,-6.63596);(2.0197,-6.25562);(5.42816,-3.9413)
2.75;(6.84556,0.00477637);(5.82656,4.23372);(2.10294,6.44902);(-2.13357,6.53806);(-5.27257,3.82344);(-7.05642,4.62629e-05);(-5.19322,-3.77307);(-2.13424,-6.57151);(1.99507,-6.18261);(5.36853,-3.89774)
2.8;(6.77689,0.0050079);(5.77686,4.19765);(2.08153,6.38183);(-2.11351,6.47402);(-5.21006,3.77696);(-6.99182,4.48483e-05);(-5.12963,-3.72686);(-2.1132,-6.50703);(1.97038,-6.10957);(5.30888,-3.85416)
2.85;(6.70827,0.00524176);(5.72716,4.16156);(2.06013,6.31463);(-2.09338,6.40984);(-5.1476,3.73061);(-6.92721,4.21385e-05);(-5.06603,-3.68065);(-2.09216,-6.44255);(1.94563,-6.03651);(5.24923,-3.81056)
2.9;(6.63969,0.00547491);(5.67743,4.12546);(2.03875,6.24742);(-2.07321,6.34551);(-5.08519,3.68437);(-6.86259,3.83065e-05);(-5.00242,-3.63443);(-2.07111,-6.37806);(1.9208,-5.96343);(5.18958,-3.76695)
2.95;(6.57119,0.00570127);(5.6277,4.08935);(2.01739,6.18019);(-2.053,6.28106);(-5.02282,3.63824);(-6.79796,3.35012e-05);(-4.9388,-3.5882);(-2.05005,-6.31356);(1.89589,-5.89032);(5.12993,-3.72333)
3;(6.50279,0.00590346);(5.57796,4.05323);(1.99604,6.11296);(-2.03275,6.2165);(-4.96049,3.59221);(-6.73332,2.78491e-05);(-4.87518,-3.54197);(-2.02899,-6.24906);(1.87086,-5.81716);(5.07028,-3.6797)
3.05;(6.43436,0.00613547);(5.52822,4.0171);(1.97472,6.04572);(-2.01249,6.15184);(-4.89821,3.54627);(-6.66868,2.14558e-05);(-4.81159,-3.49572);(-2.00792,-6.18455);(1.84585,-5.74403);(5.01066,-3.63606)
3.1;(6.37447,0.00132527);(5.47847,3.98097);(1.95342,5.97849);(-1.9922,6.08708);(-4.83596,3.50042);(-6.60403,1.4407e-05);(-4.74803,-3.44947);(-1.98684,-6.12005);(1.8123,-5.66583);(4.95108,-3.59243)
3.15;(6.31367,-0.00309118);(5.42871,3.94489);(1.93215,5.91123);(-1.97194,6.02227);(-4.77375,3.45464);(-6.53939,6.76944e-06);(-4.68448,-3.40324);(-1.96577,-6.05555);(1.77972,-5.58808);(4.89149,-3.54876)
3.2;(6.25204,-0.00715511);(5.37897,3.90884);(1.91091,5.844);(-1.95171,5.95743);(-4.71156,3.40898);(-6.47475,-1.49147e-06);(-4.62096,-3.35705);(-1.9447,-5.99109);(1.74804,-5.51074);(4.8319,-3.50508)
3.25;(6.18965,-0.0109041);(5.32924,3.87284);(1.88971,5.77678);(-1.93151,5.89254);(-4.6494,3.3634);(-6.41016,-2.70717e-05);(-4.55746,-3.31088);(-1.92364,-5.92667);(1.71723,-5.43376);(4.77231,-3.46139)
3.3;(6.12656,-0.0143725);(5.27952,3.83689);(1.86854,5.70959);(-1.91134,5.82763);(-4.58725,3.31793);(-6.34563,-7.26249e-05);(-4.49398,-3.26475);(-1.90259,-5.86229);(1.68721,-5.35709);(4.71272,-3.41769)
3.35;(6.06288,-0.0175976);(5.22983,3.80099);(1.8474,5.64242);(-1.89124,5.7627);(-4.52513,3.27254);(-6.28115,-0.000141803);(-4.43052,-3.21865);(-1.88157,-5.79795);(1.65765,-5.28057);(4.65341,-3.37411)
3.4;(5.99865,-0.0206069);(5.18017,3.76515);(1.82634,5.57529);(-1.8712,5.69775);(-4.46303,3.22723);(-6.21675,-0.000239664);(-4.36708,-3.17259);(-1.86058,-5.73366);(1.62851,-5.20419);(4.59437,-3.33064)
3.45;(5.93392,-0.0234262);(5.13054,3.72936);(1.80534,5.50818);(-1.85122,5.63279);(-4.40095,3.18201);(-6.15244,-0.000371861);(-4.30367,-3.12657);(-1.83962,-5.66941);(1.59977,-5.12795);(4.53557,-3.28725)
3.5;(5.86916,-0.0260314);(5.08097,3.69364);(1.78442,5.44111);(-1.83132,5.56783);(-4.33889,3.13687);(-6.08823,-0.000547723);(-4.24028,-3.08058);(-1.8187,-5.60521);(1.5714,-5.05183);(4.47658,-3.24398)
3.55;(5.80445,-0.0284572);(5.03144,3.658);(1.76356,5.37408);(-1.81151,5.50285);(-4.27686,3.0918);(-6.02413,-0.000786903);(-4.17691,-3.03464);(-1.7978,-5.54106);(1.5434,-4.97581);(4.41734,-3.20079)
3.6;(5.74369,-0.0312035);(4.98197,3.62243);(1.74278,5.30709);(-1.79178,5.43787);(-4.21487,3.04685);(-5.96022,-0.0011889);(-4.11358,-2.98873);(-1.77693,-5.47697);(1.51582,-4.89984);(4.354,-3.15719)
3.65;(5.68215,-0.0337851);(4.93251,3.58696);(1.72209,5.24013);(-1.77216,5.37285);(-4.15293,3.00202);(-5.8963,-0.00155761);(-4.05028,-2.94288);(-1.75609,-5.41294);(1.48843,-4.82419);(4.29138,-3.11352)
3.7;(5.61991,-0.0362247);(4.88312,3.55166);(1.70148,5.17321);(-1.75269,5.30772);(-4.09103,2.95731);(-5.83238,-0.00189613);(-3.98701,-2.89708);(-1.73528,-5.34899);(1.46119,-4.74886);(4.22942,-3.0698)
3.75;(5.55702,-0.0385421);(4.83369,3.51635);(1.68102,5.10643);(-1.73327,5.24267);(-4.02919,2.91271);(-5.76847,-0.00220741);(-3.9238,-2.85137);(-1.71449,-5.28512);(1.43406,-4.67385);(4.1681,-3.02604)
3.8;(5.49359,-0.0407821);(4.78424,3.48104);(1.6607,5.03977);(-1.71391,5.17772);(-3.96739,2.86823);(-5.70476,-0.00267549);(-3.86067,-2.80574);(-1.69374,-5.22132);(1.40721,-4.59896);(4.10736,-2.98224)
3.85;(5.42971,-0.0429626);(4.73478,3.44573);(1.64053,4.97325);(-1.69461,5.11286);(-3.90572,2.82389);(-5.64104,-0.00310498);(-3.79765,-2.76018);(-1.67301,-5.1576);(1.38042,-4.52437);(4.04724,-2.93844)
