time;0;1;2;3;4;5;6;7;8;9
0.37;(9.85468,6.69945e-07);(7.98625,5.80235);(3.04451,9.37002);(-3.04571,9.37371);(-7.96101,5.78401);(-9.86484,-8.62412e-07);(-7.95717,-5.78122);(-3.04631,-9.3756);(3.0405,-9.35768);(7.96509,-5.78698)
0.375;(9.85117,7.33855e-07);(7.98373,5.80052);(3.0434,9.36662);(-3.04463,9.3704);(-7.95789,5.78174);(-9.86157,-8.62126e-07);(-7.95395,-5.77888);(-3.04525,-9.37233);(3.03929,-9.35398);(7.96206,-5.78478)
0.38;(9.84762,8.024e-07);(7.98119,5.79868);(3.04229,9.36319);(-3.04354,9.36706);(-7.95473,5.77945);(-9.85827,-8.61837e-07);(-7.9507,-5.77652);(-3.04418,-9.36904);(3.03808,-9.35025);(7.95901,-5.78256)
0.385;(9.84404,8.75808e-07);(7.97863,5.79682);(3.04116,9.35973);(-3.04245,9.36369);(-7.95155,5.77714);(-9.85494,-8.61546e-07);(-7.94742,-5.77414);(-3.0431,-9.36571);(3.03686,-9.34648);(7.95592,-5.78032)
0.39;(9.84042,9.5431e-07);(7.97605,5.79494);(3.04003,9.35623);(-3.04134,9.36028);(-7.94834,5.77481);(-9.85158,-8.61252e-07);(-7.94412,-5.77174);(-3.04201,-9.36236);(3.03562,-9.34268);(7.95282,-5.77806)
0.395;(9.83678,1.03814e-06);(7.97344,5.79305);(3.03888,9.35271);(-3.04023,9.35685);(-7.9451,5.77245);(-9.84819,-8.60956e-07);(-7.94078,-5.76932);(-3.04091,-9.35897);(3.03437,-9.33885);(7.94968,-5.77578)
0.4;(9.83311,1.12754e-06);(7.97082,5.79114);(3.03773,9.34916);(-3.0391,9.35339);(-7.94184,5.77008);(-9.84477,-8.60657e-07);(-7.93742,-5.76687);(-3.0398,-9.35556);(3.03312,-9.33498);(7.94652,-5.77348)
0.405;(9.8294,1.22276e-06);(7.96817,5.78921);(3.03656,9.34557);(-3.03797,9.3499);(-7.93854,5.76769);(-9.84132,-8.60356e-07);(-7.93403,-5.76441);(-3.03868,-9.35212);(3.03185,-9.33108);(7.94333,-5.77117)
0.41;(9.82566,1.32405e-06);(7.96549,5.78727);(3.03539,9.34196);(-3.03683,9.34638);(-7.93522,5.76527);(-9.83785,-8.60052e-07);(-7.93061,-5.76193);(-3.03756,-9.34865);(3.03057,-9.32715);(7.94011,-5.76883)
0.415;(9.8219,1.43165e-06);(7.9628,5.78531);(3.03421,9.33832);(-3.03568,9.34284);(-7.93187,5.76284);(-9.83435,-8.59746e-07);(-7.92716,-5.75942);(-3.03642,-9.34515);(3.02929,-9.32319);(7.93687,-5.76647)
0.42;(9.8181,1.54584e-06);(7.96009,5.78334);(3.03301,9.33464);(-3.03451,9.33926);(-7.9285,5.76039);(-9.83082,-8.59437e-07);(-7.92369,-5.7569);(-3.03527,-9.34162);(3.02799,-9.3192);(7.9336,-5.7641)
0.425;(9.81427,1.66688e-06);(7.95735,5.78135);(3.03181,9.33094);(-3.03334,9.33566);(-7.9251,5.75792);(-9.82726,-8.59126e-07);(-7.92018,-5.75435);(-3.03412,-9.33807);(3.02668,-9.31517);(7.93031,-5.76171)
0.43;(9.81042,1.79503e-06);(7.95459,5.77935);(3.0306,9.32721);(-3.03216,9.33203);(-7.92167,5.75543);(-9.82367,-8.58813e-07);(-7.91666,-5.75179);(-3.03296,-9.33449);(3.02536,-9.31112);(7.92699,-5.7593)
0.435;(9.80653,1.93056e-06);(7.95181,5.77733);(3.02938,9.32346);(-3.03098,9.32837);(-7.91822,5.75292);(-9.82006,-8.58497e-07);(-7.9131,-5.74921);(-3.03178,-9.33088);(3.02403,-9.30703);(7.92365,-5.75687)
0.44;(9.80262,2.07376e-06);(7.94902,5.7753);(3.02815,9.31967);(-3.02978,9.32469);(-7.91474,5.75039);(-9.81642,-8.58179e-07);(-7.90952,-5.7466);(-3.0306,-9.32725);(3.0227,-9.30291);(7.92028,-5.75442)
0.445;(9.79868,2.22489e-06);(7.9462,5.77325);(3.02691,9.31586);(-3.02857,9.32097);(-7.91124,5.74785);(-9.81275,-8.57858e-07);(-7.90591,-5.74398);(-3.02941,-9.32358);(3.02135,-9.29876);(7.91688,-5.75195)
0.45;(9.79471,2.38426e-06);(7.94336,5.77119);(3.02566,9.31202);(-3.02736,9.31723);(-7.90771,5.74528);(-9.80906,-8.57535e-07);(-7.90228,-5.74134);(-3.02822,-9.3199);(3.01999,-9.29459);(7.91347,-5.74947)
0.455;(9.79071,2.55214e-06);(7.9405,5.76911);(3.02441,9.30815);(-3.02614,9.31347);(-7.90416,5.7427);(-9.80534,-8.5721e-07);(-7.89862,-5.73868);(-3.02701,-9.31618);(3.01862,-9.29038);(7.91003,-5.74697)
0.46;(9.78668,2.72882e-06);(7.93762,5.76702);(3.02314,9.30426);(-3.0249,9.30968);(-7.90058,5.7401);(-9.80159,-8.56883e-07);(-7.89493,-5.73601);(-3.02579,-9.31244);(3.01725,-9.28615);(7.90656,-5.74445)
0.465;(9.78263,2.91461e-06);(7.93472,5.76491);(3.02187,9.30034);(-3.02366,9.30586);(-7.89697,5.73748);(-9.79782,-8.56553e-07);(-7.89122,-5.73331);(-3.02457,-9.30868);(3.01586,-9.28188);(7.90307,-5.74192)
0.47;(9.77855,3.10979e-06);(7.9318,5.76279);(3.02059,9.29639);(-3.02242,9.30202);(-7.89335,5.73484);(-9.79403,-8.56221e-07);(-7.88749,-5.7306);(-3.02334,-9.30489);(3.01447,-9.27759);(7.89956,-5.73937)
0.475;(9.77444,3.31468e-06);(7.92886,5.76066);(3.0193,9.29242);(-3.02116,9.29815);(-7.8897,5.73219);(-9.79021,-8.55887e-07);(-7.88373,-5.72786);(-3.0221,-9.30107);(3.01306,-9.27326);(7.89602,-5.7368)
0.48;(9.77031,3.52957e-06);(7.92591,5.75851);(3.018,9.28842);(-3.01989,9.29426);(-7.88602,5.72952);(-9.78636,-8.55551e-07);(-7.87994,-5.72511);(-3.02085,-9.29723);(3.01165,-9.26892);(7.89246,-5.73421)
0.485;(9.76615,3.75478e-06);(7.92293,5.75635);(3.01669,9.2844);(-3.01862,9.29034);(-7.88232,5.72683);(-9.78249,-8.55213e-07);(-7.87613,-5.72235);(-3.0196,-9.29337);(3.01022,-9.26454);(7.88888,-5.73161)
0.49;(9.76196,3.99061e-06);(7.91994,5.75417);(3.01537,9.28034);(-3.01734,9.2864);(-7.8786,5.72413);(-9.77859,-8.54872e-07);(-7.8723,-5.71956);(-3.01833,-9.28948);(3.00879,-9.26013);(7.88528,-5.72899)
0.495;(9.75775,4.23738e-06);(7.91692,5.75198);(3.01405,9.27627);(-3.01605,9.28243);(-7.87486,5.72141);(-9.77468,-8.5453e-07);(-7.86844,-5.71676);(-3.01706,-9.28556);(3.00735,-9.2557);(7.88165,-5.72636)
0.5;(9.75351,4.49541e-06);(7.91389,5.74978);(3.01272,9.27217);(-3.01475,9.27844);(-7.87109,5.71867);(-9.77073,-8.54185e-07);(-7.86456,-5.71394);(-3.01578,-9.28163);(3.0059,-9.25124);(7.878,-5.7237)
0.505;(9.74924,4.76501e-06);(7.91084,5.74756);(3.01138,9.26805);(-3.01345,9.27442);(-7.8673,5.71591);(-9.76676,-8.53838e-07);(-7.86066,-5.71111);(-3.01449,-9.27767);(3.00444,-9.24675);(7.87433,-5.72104)
0.51;(9.74495,5.04651e-06);(7.90777,5.74533);(3.01003,9.2639);(-3.01214,9.27038);(-7.86348,5.71314);(-9.76277,-8.53489e-07);(-7.85673,-5.70825);(-3.0132,-9.27368);(3.00298,-9.24224);(7.87064,-5.71835)
0.515;(9.74064,5.34024e-06);(7.90469,5.74309);(3.00867,9.25972);(-3.01082,9.26632);(-7.85965,5.71035);(-9.75876,-8.53138e-07);(-7.85278,-5.70538);(-3.0119,-9.26967);(3.0015,-9.2377);(7.86692,-5.71565)
0.52;(9.7363,5.64651e-06);(7.90158,5.74084);(3.00731,9.25552);(-3.00949,9.26223);(-7.85579,5.70755);(-9.75472,-8.52785e-07);(-7.84881,-5.7025);(-3.01059,-9.26564);(3.00002,-9.23313);(7.86319,-5.71294)
0.525;(9.73193,5.96566e-06);(7.89846,5.73857);(3.00594,9.2513);(-3.00816,9.25812);(-7.85191,5.70473);(-9.75066,-8.5243e-07);(-7.84482,-5.69959);(-3.00927,-9.26159);(2.99852,-9.22854);(7.85943,-5.71021)
